_id,ALARM_DATE,CONT_DATE,Fire station name,UNIT_ID,GIS_ACRES,Shape__Area,Shape__Length,YEAR_
63,09/08/2023,09/08/2023,Kern County,KRN,3.816716,23131.67578,712.3148402,2023
64,13/08/2023,13/08/2023,Kern County,KRN,16.05068,97481.03906,1702.39472,2023
65,14/08/2023,17/08/2023,Kern County,KRN,52.54716,318702.4023,4868.132912,2023
66,14/08/2023,14/08/2023,Kern County,KRN,4.713907,28567.82422,1609.346326,2023
67,19/08/2023,19/08/2023,Kern County,KRN,34.64903,212358.3164,2262.750295,2023
68,27/08/2023,27/08/2023,Kern County,KRN,4.015996,24437.21094,825.4634468,2023
69,28/08/2023,28/08/2023,Kern County,KRN,33.32077,205300.0156,2251.139338,2023
70,09/09/2023,09/09/2023,Kern County,KRN,7.908133,48110.35156,1631.93772,2023
71,09/09/2023,10/09/2023,Kern County,KRN,7.309518,44897.99219,924.0046553,2023
72,16/09/2023,17/09/2023,Kern County,KRN,55.02539,334837.2266,3260.976917,2023
73,21/09/2023,21/09/2023,Kern County,KRN,10.37647,63111.26172,1553.043777,2023
74,22/09/2023,22/09/2023,Kern County,KRN,5.175606,31535.89844,1666.751888,2023
75,22/09/2023,22/09/2023,Kern County,KRN,5.002238,30675.01172,1041.266043,2023
76,26/09/2023,27/09/2023,Kern County,KRN,7.971368,48879.41016,1049.611246,2023
77,27/09/2023,27/09/2023,Kern County,KRN,6.430629,39461.25391,987.0435636,2023
78,27/09/2023,27/09/2023,Kern County,KRN,13.71712,82917.83594,1781.110361,2023
79,06/10/2023,06/10/2023,Kern County,KRN,4.440306,27030.42578,1277.931063,2023
80,07/10/2023,07/10/2023,Kern County,KRN,3.030688,18364.57422,881.1876633,2023
81,18/10/2023,18/10/2023,Kern County,KRN,5.226628,32146.07422,860.3486968,2023
82,26/10/2023,26/10/2023,Kern County,KRN,6.315729,38482.625,850.9716783,2023
83,28/10/2023,28/10/2023,Kern County,KRN,8.496378,52123.60547,1176.991439,2023
84,29/10/2023,29/10/2023,Kern County,KRN,8.202892,49831.30469,1154.948386,2023
85,29/10/2023,29/10/2023,Kern County,KRN,5.487661,33676.47656,978.3950902,2023
86,02/11/2023,02/11/2023,Kern County,KRN,16.76435,102302.5898,1533.5444,2023
87,08/11/2023,08/11/2023,Kern County,KRN,86.2767,527799.0625,3885.537834,2023
88,10/11/2023,10/11/2023,Kern County,KRN,15.04139,92238.10547,1413.351239,2023
89,11/05/2023,11/05/2023,Kern County,KRN,3.00047,46223.17578,1389.531203,2023
90,21/11/2023,21/11/2023,Kern County,KRN,3.433622,21001.19531,568.7884946,2023
91,07/10/2023,07/10/2023,Kern County,KRN,7.258909,44394.96875,1535.679784,2023
92,18/10/2023,18/10/2023,Kern County,KRN,13.32836,81629.73047,1303.981655,2023
93,19/08/2023,31/08/2023,Santa Barbara County,SBC,5761.521,34771286.98,52880.15076,2023
94,09/11/2023,13/11/2023,Santa Barbara County,SBC,211.192,1263209.254,6407.743677,2023
95,06/10/2023,07/10/2023,Santa Barbara County,SBC,95.66613,572195.2266,5628.224113,2023
96,15/06/2023,15/06/2023,Nevada - Yuba - Placer CAL FIRE,NEU,94.27705,729429.2852,4916.562531,2023
97,23/06/2023,23/06/2023,Nevada - Yuba - Placer CAL FIRE,NEU,58.00984,392011.0938,2779.400656,2023
98,30/05/2023,30/05/2023,Nevada - Yuba - Placer CAL FIRE,NEU,13.73,91543.41406,1820.06845,2023
99,03/12/2023,03/12/2023,Kern County,KRN,3.12156,18763.00781,975.0705678,2023
100,04/12/2023,04/12/2023,Kern County,KRN,2.2649,13228,666.5913206,2023
101,15/12/2023,16/12/2023,Kern County,KRN,169.973,1041987.031,5519.316141,2023
102,03/07/2023,03/07/2023,Madera - Mariposa CAL FIRE,MMU,83,528590.0625,3723.288001,2023
103,13/08/2023,16/08/2023,Monterey - San Benito CAL FIRE,BEU,4.5,27820.04297,740.6788169,2023
104,26/07/2023,27/07/2023,Ventura County,VNC,1.655345,9795.050781,785.6992822,2023
105,05/07/2023,06/07/2023,Ventura County,VNC,13.01236,77596.91016,1574.084649,2023
106,09/12/2023,12/12/2023,Ventura County,VNC,2715.4,16143487.74,46856.17004,2023
107,09/08/2023,10/08/2023,Riverside CAL FIRE,RRU,531.0221,3125684.391,9266.773274,2023
108,26/07/2023,07/08/2023,Riverside CAL FIRE,RRU,2323.106,13545480.47,30310.04848,2023
109,06/10/2023,09/10/2023,Monterey - San Benito CAL FIRE,BEU,53.9,334473.5117,4810.724899,2023
110,16/07/2023,16/07/2023,Nevada - Yuba - Placer CAL FIRE,NEU,9.532271,63489.28906,1306.552597,2023
111,05/08/2023,05/08/2023,Nevada - Yuba - Placer CAL FIRE,NEU,25,166830.6016,2057.586202,2023
112,11/07/2023,11/07/2023,Nevada - Yuba - Placer CAL FIRE,NEU,11.63,72340.89063,1438.594124,2023
113,09/06/2023,09/06/2023,Nevada - Yuba - Placer CAL FIRE,NEU,44,297833.75,3808.764007,2023
114,26/07/2023,31/07/2023,Nevada - Yuba - Placer CAL FIRE,NEU,10.8,71087.25,1270.332734,2023
115,31/07/2023,31/07/2023,Nevada - Yuba - Placer CAL FIRE,NEU,16.6,16168.75391,721.6105664,2023
116,02/07/2023,02/07/2023,Tuolumne - Calaveras CAL FIRE,TCU,106,689467.5195,5341.280421,2023
117,29/08/2023,29/08/2023,Mendocino CAL FIRE,MEU,0.46,3168.898438,219.2832881,2023
118,15/08/2023,16/08/2023,San Luis Obispo CAL FIRE,SLU,695.1143,4249745.027,11155.58902,2023
119,26/09/2023,26/09/2023,San Luis Obispo CAL FIRE,SLU,0.3076231,1873.503906,190.5231008,2023
120,21/10/2023,21/10/2023,San Luis Obispo CAL FIRE,SLU,6.247237,38117.00391,853.7018552,2023
121,10/06/2023,10/06/2023,San Luis Obispo CAL FIRE,SLU,1.184759,7278.503906,386.2766137,2023
122,06/10/2023,09/10/2023,San Luis Obispo CAL FIRE,SLU,247.2606,1514331.992,6555.816896,2023
123,01/09/2023,01/09/2023,San Luis Obispo CAL FIRE,SLU,14.83849,91436.52734,1464.358979,2023
124,30/10/2023,30/10/2023,San Luis Obispo CAL FIRE,SLU,25.73028,156659.0078,2154.118556,2023
125,10/11/2023,11/11/2023,San Luis Obispo CAL FIRE,SLU,6.738468,40989.48047,1206.447219,2023
126,12/11/2023,12/11/2023,San Luis Obispo CAL FIRE,SLU,1.519355,9182.496094,512.6882161,2023
127,01/06/2023,01/06/2023,San Luis Obispo CAL FIRE,SLU,3.37118,20769.66016,606.9995612,2023
128,13/11/2023,13/11/2023,San Luis Obispo CAL FIRE,SLU,31.01117,189929.9883,1938.039336,2023
129,20/11/2023,20/11/2023,San Luis Obispo CAL FIRE,SLU,9.52999,58357.01953,2106.673213,2023
130,03/06/2023,03/06/2023,San Luis Obispo CAL FIRE,SLU,1.171606,7202.011719,343.1320916,2023
131,10/11/2023,10/11/2023,San Luis Obispo CAL FIRE,SLU,4.502316,27563.99219,771.2271891,2023
132,16/06/2023,16/06/2023,San Luis Obispo CAL FIRE,SLU,2.214254,13574.5,469.6282979,2023
133,28/06/2023,28/06/2023,San Luis Obispo CAL FIRE,SLU,70.79186,431352.0039,3756.05652,2023
134,16/07/2023,16/07/2023,San Luis Obispo CAL FIRE,SLU,2.151939,13226.49609,629.6460223,2023
135,16/12/2023,16/12/2023,San Luis Obispo CAL FIRE,SLU,1.008626,6185.5,321.1371467,2023
136,25/07/2023,25/07/2023,San Luis Obispo CAL FIRE,SLU,0.1144218,703,158.4008366,2023
137,30/07/2023,03/08/2023,San Luis Obispo CAL FIRE,SLU,114.7964,701703.5039,4835.690479,2023
138,16/08/2023,16/08/2023,San Luis Obispo CAL FIRE,SLU,5.272589,32346.00391,802.6412733,2023
139,16/08/2023,16/08/2023,San Luis Obispo CAL FIRE,SLU,0.8171355,4988,328.3602865,2023
140,18/08/2023,18/08/2023,San Luis Obispo CAL FIRE,SLU,5.66248,34542,744.2854631,2023
141,26/08/2023,26/08/2023,San Luis Obispo CAL FIRE,SLU,1.682815,10172,386.1112356,2023
142,16/12/2023,16/12/2023,San Luis Obispo CAL FIRE,SLU,3.066564,18742.50391,907.4344349,2023
143,27/08/2023,27/08/2023,San Luis Obispo CAL FIRE,SLU,2.421318,14898.50391,648.9686714,2023
144,31/08/2023,31/08/2023,San Luis Obispo CAL FIRE,SLU,0.7515653,4612,318.676944,2023
145,10/09/2023,10/09/2023,San Luis Obispo CAL FIRE,SLU,8.690822,52689.99609,985.4806931,2023
146,16/12/2023,16/12/2023,San Luis Obispo CAL FIRE,SLU,13.34245,81375.99219,1892.446627,2023
147,10/09/2023,10/09/2023,San Luis Obispo CAL FIRE,SLU,1.702128,10438.49609,456.5777772,2023
148,13/09/2023,13/09/2023,San Luis Obispo CAL FIRE,SLU,1.899265,11630,545.5958314,2023
149,16/09/2023,16/09/2023,San Luis Obispo CAL FIRE,SLU,16.14059,98402.02344,1327.044614,2023
150,16/06/2023,16/06/2023,Sonoma - Lake - Napa CAL FIRE,LNU,97.11945,646290.5742,4809.994658,2023
151,20/10/2023,20/10/2023,Mendocino CAL FIRE,MEU,0.14,1003.761719,123.1301504,2023
152,20/06/2023,21/06/2023,San Diego CAL FIRE,SDU,12.2,70128.07813,1661.040439,2023
153,17/08/2023,19/08/2023,San Diego CAL FIRE,SDU,466.5,2670139.785,8337.219729,2023
154,18/07/2023,18/07/2023,San Diego CAL FIRE,SDU,3.5,20184.62891,649.5363835,2023
155,20/06/2023,21/06/2023,San Diego CAL FIRE,SDU,37.4,214332.0781,3972.248471,2023
156,14/09/2023,14/09/2023,Shasta - Trinity CAL FIRE,SHU,2.58,19125,804.2190128,2023
157,12/07/2023,12/07/2023,Shasta - Trinity CAL FIRE,SHU,28.96,202759.4727,2702.150511,2023
158,21/06/2023,22/06/2023,San Diego CAL FIRE,SDU,61.07,346823.5234,3925.771368,2023
159,07/10/2023,07/10/2023,San Diego CAL FIRE,SDU,10.51,59312.51172,1135.858689,2023
160,20/06/2023,20/06/2023,San Diego CAL FIRE,SDU,17.95,1123003.902,7290.325809,2023
161,29/07/2023,29/07/2023,Tuolumne - Calaveras CAL FIRE,TCU,11.02161,71534.49609,1156.623555,2023
162,06/04/2023,06/04/2023,San Bernardino CAL FIRE,BDU,54.54718,350211.7852,2757.578935,2023
163,08/08/2023,08/08/2023,Humboldt - Del Norte CAL FIRE,HUU,12.89246,92530.39844,1441.227204,2023
164,03/07/2023,03/07/2023,Tulare CAL FIRE,TUU,0.06657419,414.765625,76.78781006,2023
165,10/08/2023,10/08/2023,Tulare CAL FIRE,TUU,138.2095,867423.918,6351.43918,2023
166,20/05/2023,21/05/2023,Riverside CAL FIRE,RRU,37.28043,217341.4961,2617.172917,2023
167,02/08/2023,03/08/2023,Riverside CAL FIRE,RRU,14.43536,575218.6563,5876.394317,2023
168,23/08/2023,24/08/2023,Riverside CAL FIRE,RRU,8.132599,47442.86719,1386.479847,2023
169,06/08/2023,08/08/2023,Riverside CAL FIRE,RRU,1.601149,9430.558594,498.0321237,2023
170,15/05/2023,17/05/2023,Riverside CAL FIRE,RRU,127,731642.0352,5497.28008,2023
171,30/08/2023,30/08/2023,Monterey - San Benito CAL FIRE,BEU,1.98,12562.90234,905.0682928,2023
172,01/06/2023,02/06/2023,Fresno-Kings CAL FIRE,FKU,108.165,677867.4844,5071.888375,2023
173,09/06/2023,10/06/2023,Fresno-Kings CAL FIRE,FKU,20.1026,124507.4766,1543.886319,2023
174,12/08/2023,13/08/2023,Fresno-Kings CAL FIRE,FKU,19.1282,120709.5039,1950.548028,2023
175,08/06/2023,08/06/2023,Fresno-Kings CAL FIRE,FKU,25.7406,162906.5195,2143.026825,2023
176,27/06/2023,27/06/2023,Fresno-Kings CAL FIRE,FKU,23.8874,147926.9961,2307.82863,2023
177,14/07/2023,15/07/2023,Fresno-Kings CAL FIRE,FKU,14.3992,90620.97266,1396.624223,2023
178,07/07/2023,07/07/2023,Fresno-Kings CAL FIRE,FKU,30.3938,192113.9766,1855.005985,2023
179,30/05/2023,30/05/2023,Fresno-Kings CAL FIRE,FKU,127.146,806019.4688,4915.526109,2023
180,23/07/2023,23/07/2023,Fresno-Kings CAL FIRE,FKU,16.7198,106055.9609,1484.096199,2023
181,18/07/2023,19/07/2023,Fresno-Kings CAL FIRE,FKU,11.1383,66810,1221.562312,2023
182,07/09/2023,07/09/2023,Fresno-Kings CAL FIRE,FKU,60.4371,377722.9766,2728.967091,2023
183,25/07/2023,27/07/2023,Fresno-Kings CAL FIRE,FKU,27.6025,171684.0273,2019.182654,2023
184,25/07/2023,27/07/2023,Los Angeles County,LAC,57.49,343984.6484,3500.446814,2023
185,23/11/2023,27/11/2023,San Diego National Wildlife Refuge,TNR,39.687,227598.1172,3033.238391,2023
186,20/06/2023,20/06/2023,Don Edwards San Francisco Bay National Wildlife Refuge,FWR,26.82465,172802.5586,3060.632253,2023
187,04/07/2023,04/07/2023,Sacramento River National Wildlife Refuge,SRR,3.312726,22628.23438,819.9615095,2023
188,30/05/2023,30/05/2023,Kern National Wildlife Refuge,KRR,2.545945,15670.00391,2808.000994,2023
189,26/04/2023,11/05/2023,San Bernardino National Forest,BDF,226.9751,1348920.48,5930.428188,2023
190,11/08/2023,13/08/2023,Los Padres National Forest,LPF,96.37685,583837.1289,4259.823555,2023
191,19/05/2023,20/05/2023,Los Padres National Forest,LPF,48.99358,296880.8359,2127.610874,2023
192,28/08/2023,31/08/2023,Shasta-Trinity National Forest,SHF,11.8399,84188.16406,1504.035864,2023
193,16/06/2023,18/07/2023,Stanislaus National Forest,STF,1180.618,7716500.457,20201.04798,2023
194,02/08/2023,20/08/2023,Los Padres National Forest,LPF,76.19935,458969.375,5270.885272,2023
195,10/07/2023,11/07/2023,Angeles National Forest,ANF,25.90652,155243.7656,1782.72359,2023
196,11/09/2023,16/11/2023,Stanislaus National Forest,STF,836.8499,5496972.059,16129.79513,2023
197,30/09/2023,30/10/2023,Sequoia National Forest,SQF,2857.988,18038140.2,34420.24696,2023
198,26/08/2023,26/08/2023,Modoc National Forest,MDF,12.34517,88649.96094,1544.82549,2023
199,19/09/2023,23/09/2023,Modoc National Forest,MDF,20.04021,146670.1484,2260.138454,2023
200,15/08/2023,31/12/2023,Shasta-Trinity National Forest,SHF,31.21948,218677.4453,2238.919096,2023
201,09/09/2023,08/11/2023,Stanislaus National Forest,STF,8645.426,56558852.22,73681.75826,2023
202,12/07/2023,21/07/2023,Angeles National Forest,ANF,16.75898,100156.1406,1554.751275,2023
203,11/07/2023,14/07/2023,Sierra National Forest,SNF,23.56014,149300.5742,2063.393486,2023
204,15/08/2023,03/10/2023,Shasta-Trinity National Forest,SHF,4198.194,29782851.64,55373.59929,2023
205,28/07/2023,20/08/2023,Mojave - NPS,MNP,93077.87,566824239,264117.4915,2023
206,15/08/2023,11/09/2023,Redwood National and State Parks,RWP,739.8182,5311222.496,17079.03742,2023
207,25/08/2023,19/10/2023,Redwood National and State Parks,RWP,16.54212,118120.8828,1585.720548,2023
208,15/08/2023,19/10/2023,Redwood National and State Parks,RWP,12.40059,88464.69141,1468.33548,2023
209,29/06/2023,15/08/2023,Yosemite National Park,YNP,841,5451324.898,16477.84437,2023
210,15/08/2023,14/12/2023,Sequoia - Kings Canyon NP,KNP,2248.449,14117352.79,18191.68013,2023
211,16/10/2023,20/10/2023,Sequoia - Kings Canyon NP,KNP,23.93,150164.6484,1628.454834,2023
212,03/06/2023,03/06/2023,Madera - Mariposa CAL FIRE,MMU,67.26041,424802.3203,3601.6956,2023
213,29/10/2023,30/10/2023,San Diego CAL FIRE,SDU,23.66831,135338.1172,2228.000928,2023
214,22/12/2023,22/12/2023,San Diego CAL FIRE,SDU,38.60516,220667.3281,3493.3236,2023
215,17/06/2023,23/06/2023,Mojave - NPS,MNP,28.64047,174526.1563,4156.498594,2023
216,10/06/2023,18/06/2023,Joshua Tree NP,JTP,1033.308,6086124.551,15544.83904,2023
217,13/09/2023,20/09/2023,Humboldt-Toiyabe National Forest,HTF,32.59397,216134.7305,4029.09343,2023
218,25/10/2023,25/10/2023,Humboldt-Toiyabe National Forest,HTF,52.93411,360449.8633,4196.464519,2023
219,22/05/2023,23/05/2023,Modoc National Forest,MDF,8.502274,62117.34375,1985.069955,2023
220,24/05/2023,26/05/2023,Modoc National Forest,MDF,56.06239,401150.5234,5383.565434,2023
221,02/07/2023,03/07/2023,Shasta-Trinity National Forest,SHF,5.702603,40440.67969,1171.615664,2023
222,15/08/2023,16/08/2023,Lassen National Forest,LNF,8.922971,62661.88281,1019.671797,2023
223,03/07/2023,03/07/2023,Sequoia National Forest,SQF,8.326042,48661.33203,1129.032027,2023
224,06/06/2023,07/06/2023,Six Rivers National Forest,SRF,5.489922,39466.57813,1768.088511,2023
225,15/08/2023,23/08/2023,Mendocino National Forest,MNF,472.7209,3269595.191,12733.71857,2023
226,16/08/2023,17/08/2023,Tahoe National Forest,TNF,44.80482,303525.9453,3664.241114,2023
227,15/09/2023,15/09/2023,Los Padres National Forest,LPF,12.56114,76082.48438,3080.892878,2023
229,15/08/2023,09/01/2024,Six Rivers National Forest,SRF,76.7887,539647.9141,3204.006118,2023
230,04/07/2023,04/07/2023,Sequoia National Forest,SQF,23.00138,140823.3281,2772.240031,2023
231,12/10/2023,14/10/2023,Los Padres National Forest,LPF,259.8927,1579435.297,8222.418468,2023
232,25/07/2023,08/08/2023,Angeles National Forest,ANF,426.2046,2541744.766,8617.848862,2023
233,14/10/2023,16/10/2023,Sierra National Forest,SNF,118.5461,757854.1055,5737.533666,2023
234,17/06/2023,27/06/2023,Sierra National Forest,SNF,46.6567,295928.0234,3660.866521,2023
235,20/07/2023,20/07/2023,Inyo National Forest,INF,322.9609,2101383.68,6473.235344,2023
236,17/04/2023,22/04/2023,CA Desert District - BLM,CDD,62.93432,394267.3203,6353.729086,2023
237,24/05/2023,27/05/2023,CA Desert District - BLM,CDD,81.68464,490680.3477,6520.465494,2023
238,26/05/2023,26/05/2023,Central CA District - BLM,CND,15.10045,91857.28516,1790.434804,2023
239,28/05/2023,28/05/2023,Central CA District - BLM,CND,14.80223,89621.67578,2073.539217,2023
240,28/05/2023,28/05/2023,Central CA District - BLM,CND,13.71699,83084.67969,1718.069725,2023
241,04/06/2023,04/06/2023,Central CA District - BLM,CND,10.07988,60945.98438,1400.026159,2023
242,24/06/2023,25/06/2023,Central CA District - BLM,CND,228.4782,1381892.43,12754.67306,2023
243,10/09/2023,10/09/2023,Central CA District - BLM,CND,34.17575,224238.4648,2694.351952,2023
244,25/09/2023,25/09/2023,Central CA District - BLM,CND,12.74907,77988.32031,1521.073538,2023
245,26/09/2023,27/09/2023,CA Desert District - BLM,CDD,22.08992,129652.1719,1774.831328,2023
246,05/12/2023,05/12/2023,CA Desert District - BLM,CDD,12.77125,72986.67578,2030.133224,2023
247,12/11/2023,14/11/2023,Central CA District - BLM,CND,63.70088,386476.668,4368.275657,2023
248,05/08/2023,08/08/2023,CA Desert District - BLM,CDD,1113.898,6862632.824,17746.02708,2023
249,14/07/2023,23/07/2023,Central CA District - BLM,CND,178.1577,1093542.129,6911.544944,2023
250,15/05/2023,15/05/2023,Central CA District - BLM,CND,121.1558,737669.1055,3572.014098,2023
251,18/07/2023,21/07/2023,Colorado River District,CRD,62.32319,357554.9922,2540.432385,2023
252,11/03/2023,12/03/2023,Colorado River District,CRD,15.25318,87511.72656,1408.504739,2023
253,20/04/2023,22/04/2023,Colorado River District,CRD,19.89741,114327.4648,2617.939535,2023
254,17/08/2023,18/08/2023,Northern CA District - BLM,NOD,27.64029,192656.5742,2375.264657,2023
255,31/07/2023,04/08/2023,CA Desert District - BLM,CDD,22.55552,131573.4883,1749.770715,2023
256,27/10/2023,28/10/2023,CA Desert District - BLM,CDD,90.48016,532339.4375,5119.0451,2023
257,09/08/2023,11/08/2023,San Diego CAL FIRE,SDU,183.9228,1060934.363,6973.034253,2023
258,16/08/2023,18/08/2023,Siskiyou CAL FIRE,SKU,14.55784,106294.4883,1706.836858,2023
259,15/08/2023,28/08/2023,Siskiyou CAL FIRE,SKU,792.9697,5681507.43,16992.59133,2023
260,15/08/2023,28/08/2023,Siskiyou CAL FIRE,SKU,29.74612,212868.7422,2876.961818,2023
261,15/08/2023,02/09/2023,Humboldt - Del Norte CAL FIRE,HUU,1055.172,7430767.449,19672.84572,2023
262,10/08/2023,10/08/2023,Tulare CAL FIRE,TUU,300.792,1889136.363,8767.679546,2023
263,15/08/2023,14/11/2023,Six Rivers National Forest,SRF,89326.05,653153709.9,310391.9449,2023
264,16/08/2023,02/11/2023,Six Rivers National Forest,SRF,2836.39,19947931.85,68191.92947,2023
265,15/08/2023,23/08/2023,Klamath National Forest,KNF,81.23029,590216.5859,4621.795022,2023
266,15/08/2023,04/09/2023,Klamath National Forest,KNF,1935.952,14050384.42,23549.83663,2023
267,15/08/2023,07/09/2023,Klamath National Forest,KNF,200.2064,1448786.512,8863.538671,2023
268,18/08/2023,24/08/2023,Klamath National Forest,KNF,294.8512,2152075.215,6968.732878,2023
269,21/08/2023,25/09/2023,Six Rivers National Forest,SRF,1728.136,12457944.09,18526.71597,2023
270,17/08/2023,25/10/2023,Six Rivers National Forest,SRF,12152.45,87295981.71,191343.962,2023
271,17/08/2023,28/09/2023,Six Rivers National Forest,SRF,95.91678,692201.1914,7400.785106,2023
272,19/08/2023,02/09/2023,Six Rivers National Forest,SRF,20.01698,144629.1992,1822.039352,2023
273,15/08/2023,14/11/2023,Six Rivers National Forest,SRF,599.3448,4357972.82,9443.720863,2023
